query_id	entity_id	entity_type	genre	web_search?	wiki_text?	unknown?
EDL14_ENG_0102	E0800701	PER	NW	N	N	N
EDL14_ENG_0103	NIL0045	PER	DF	N	Y	N
EDL14_ENG_0104	E0585369	GPE	WB	N	Y	N
EDL14_ENG_0105	NIL0046	ORG	WB	N	Y	N
EDL14_ENG_0106	E0710190	ORG	NW	N	N	N
EDL14_ENG_0107	NIL0047	PER	DF	Y	Y	Y
EDL14_ENG_0109	E0597018	PER	WB	N	N	N
EDL14_ENG_0110	NIL0048	PER	DF	N	N	Y
EDL14_ENG_0111	E0108458	PER	NW	N	N	N
EDL14_ENG_0112	E0679687	GPE	WB	N	Y	N
EDL14_ENG_0113	E0679687	GPE	WB	N	N	N
EDL14_ENG_0114	E0382887	GPE	DF	N	N	N
EDL14_ENG_0115	E0338923	ORG	WB	N	N	N
EDL14_ENG_0116	NIL0049	PER	DF	N	Y	Y
EDL14_ENG_0117	NIL0050	PER	WB	Y	Y	Y
EDL14_ENG_0118	NIL0051	PER	NW	Y	Y	N
EDL14_ENG_0119	E0799638	PER	DF	N	Y	N
EDL14_ENG_0120	NIL0052	ORG	WB	N	Y	N
EDL14_ENG_0121	NIL0053	PER	WB	Y	Y	N
EDL14_ENG_0122	E0795131	GPE	NW	N	Y	N
EDL14_ENG_0123	E0479145	ORG	WB	N	Y	N
EDL14_ENG_0124	E0100324	PER	DF	N	N	N
EDL14_ENG_0125	NIL0054	PER	WB	N	N	Y
EDL14_ENG_0126	NIL0048	PER	DF	N	N	N
EDL14_ENG_0127	E0338923	ORG	WB	N	Y	N
EDL14_ENG_0128	NIL0055	ORG	WB	Y	Y	N
EDL14_ENG_0129	E0158073	PER	DF	N	Y	N
EDL14_ENG_0130	NIL0056	PER	DF	N	N	Y
EDL14_ENG_0131	E0096101	GPE	NW	Y	Y	N
EDL14_ENG_0132	E0375368	PER	WB	N	N	N
EDL14_ENG_0133	NIL0057	PER	DF	N	N	Y
EDL14_ENG_0134	E0655988	GPE	DF	Y	Y	N
EDL14_ENG_0135	E0819391	PER	DF	N	N	N
EDL14_ENG_0136	NIL0058	PER	NW	N	N	N
EDL14_ENG_0137	E0234916	ORG	WB	N	N	N
EDL14_ENG_0138	E0002344	PER	DF	Y	Y	N
EDL14_ENG_0139	NIL0059	PER	WB	Y	Y	N
EDL14_ENG_0140	NIL0044	ORG	WB	N	Y	N
EDL14_ENG_0141	E0459068	ORG	NW	N	Y	N
EDL14_ENG_0142	E0287282	ORG	WB	N	N	N
EDL14_ENG_0143	NIL0060	PER	DF	N	Y	N
EDL14_ENG_0144	NIL0061	PER	WB	N	N	Y
EDL14_ENG_0145	E0797690	PER	WB	N	N	N
EDL14_ENG_0146	E0580738	ORG	NW	N	N	N
EDL14_ENG_0147	NIL0062	PER	DF	Y	Y	Y
EDL14_ENG_0149	NIL0063	PER	DF	N	N	Y
EDL14_ENG_0150	E0620647	PER	NW	N	N	N
EDL14_ENG_0151	E0819391	PER	DF	N	N	N
EDL14_ENG_0152	E0679687	GPE	WB	N	N	N
EDL14_ENG_0153	NIL0064	PER	DF	N	N	Y
EDL14_ENG_0154	NIL0065	PER	DF	N	N	Y
EDL14_ENG_0155	E0679103	PER	DF	N	N	N
EDL14_ENG_0156	E0371752	PER	WB	N	Y	N
EDL14_ENG_0157	NIL0066	PER	WB	Y	N	N
EDL14_ENG_0158	E0762868	GPE	WB	N	Y	N
EDL14_ENG_0159	NIL0021	PER	DF	N	N	Y
EDL14_ENG_0160	E0566375	PER	DF	N	N	N
EDL14_ENG_0161	E0713045	ORG	NW	N	N	N
EDL14_ENG_0162	E0797690	PER	WB	N	N	N
EDL14_ENG_0163	E0622606	PER	WB	Y	Y	N
EDL14_ENG_0164	E0733348	PER	NW	N	N	N
EDL14_ENG_0165	E0412843	GPE	NW	N	N	N
EDL14_ENG_0166	E0039758	PER	DF	N	N	N
EDL14_ENG_0167	E0119967	PER	DF	N	N	N
EDL14_ENG_0168	E0031828	PER	WB	N	N	N
EDL14_ENG_0169	NIL0067	ORG	WB	N	Y	N
EDL14_ENG_0170	E0679687	GPE	WB	N	N	N
EDL14_ENG_0172	E0401466	GPE	NW	N	N	N
EDL14_ENG_0173	NIL0068	PER	NW	N	Y	N
EDL14_ENG_0174	E0440272	GPE	WB	N	N	N
EDL14_ENG_0175	E0511707	ORG	WB	N	N	N
EDL14_ENG_0176	NIL0069	PER	DF	N	N	Y
EDL14_ENG_0177	E0514805	PER	NW	N	N	N
EDL14_ENG_0178	NIL0070	PER	WB	N	Y	N
EDL14_ENG_0179	NIL0071	GPE	NW	N	N	N
EDL14_ENG_0180	E0143202	PER	NW	N	Y	N
EDL14_ENG_0181	E0658573	PER	DF	N	N	N
EDL14_ENG_0182	NIL0072	PER	DF	N	N	Y
EDL14_ENG_0183	NIL0073	PER	WB	N	N	N
EDL14_ENG_0184	E0641833	PER	NW	N	Y	N
EDL14_ENG_0185	NIL0074	ORG	NW	Y	Y	N
EDL14_ENG_0186	NIL0019	PER	WB	N	N	Y
EDL14_ENG_0187	NIL0075	PER	DF	N	N	Y
EDL14_ENG_0188	NIL0076	PER	DF	N	N	Y
EDL14_ENG_0189	E0206407	ORG	DF	N	Y	N
EDL14_ENG_0190	E0236617	ORG	WB	N	Y	N
EDL14_ENG_0191	NIL0077	PER	DF	N	N	Y
EDL14_ENG_0192	E0518136	GPE	DF	N	Y	N
EDL14_ENG_0193	E0522500	PER	DF	N	N	N
EDL14_ENG_0194	NIL0078	ORG	WB	Y	N	N
EDL14_ENG_0195	E0608517	GPE	NW	Y	Y	N
EDL14_ENG_0196	E0637996	PER	DF	N	Y	N
EDL14_ENG_0197	NIL0079	PER	DF	N	N	Y
EDL14_ENG_0198	E0633573	PER	NW	Y	Y	N
EDL14_ENG_0199	E0742724	PER	NW	N	N	N
EDL14_ENG_0200	E0484023	PER	DF	N	N	N
EDL14_ENG_0201	E0420350	PER	DF	N	N	N
EDL14_ENG_0202	NIL0080	ORG	NW	Y	Y	N
EDL14_ENG_0203	E0368799	PER	DF	N	Y	N
EDL14_ENG_0204	E0191572	PER	DF	N	N	N
EDL14_ENG_0205	E0194507	ORG	WB	N	N	N
EDL14_ENG_0206	E0685180	GPE	WB	N	Y	N
EDL14_ENG_0207	E0798483	PER	DF	N	Y	N
EDL14_ENG_0208	E0511707	ORG	WB	N	N	N
EDL14_ENG_0209	NIL0081	PER	DF	N	N	Y
EDL14_ENG_0210	E0762868	GPE	WB	N	Y	N
EDL14_ENG_0212	NIL0082	PER	DF	N	N	Y
EDL14_ENG_0213	E0294278	PER	WB	N	Y	N
EDL14_ENG_0214	NIL0083	PER	NW	N	Y	N
EDL14_ENG_0216	NIL0084	ORG	NW	Y	N	N
EDL14_ENG_0217	E0710980	PER	DF	N	N	N
EDL14_ENG_0218	NIL0085	PER	WB	N	Y	N
EDL14_ENG_0219	E0668169	ORG	NW	N	N	N
EDL14_ENG_0220	E0437588	PER	WB	N	Y	N
EDL14_ENG_0221	NIL0013	PER	DF	N	N	Y
EDL14_ENG_0222	E0300777	PER	DF	N	N	N
EDL14_ENG_0223	E0300777	PER	DF	N	N	N
EDL14_ENG_0224	E0665282	PER	DF	N	Y	N
EDL14_ENG_0225	NIL0086	PER	WB	N	N	N
EDL14_ENG_0226	E0038478	PER	DF	N	Y	N
EDL14_ENG_0227	E0742724	PER	NW	N	N	N
EDL14_ENG_0228	NIL0087	PER	WB	N	N	N
EDL14_ENG_0229	E0799361	PER	DF	N	Y	N
EDL14_ENG_0230	NIL0088	GPE	DF	N	N	N
EDL14_ENG_0231	NIL0089	PER	DF	N	N	Y
EDL14_ENG_0232	E0003185	PER	WB	N	Y	N
EDL14_ENG_0233	NIL0090	PER	NW	Y	N	N
EDL14_ENG_0234	NIL0091	PER	DF	N	N	Y
EDL14_ENG_0235	E0620647	PER	NW	N	N	N
EDL14_ENG_0236	E0161565	GPE	DF	N	N	N
EDL14_ENG_0237	E0596446	ORG	WB	N	N	N
EDL14_ENG_0238	E0108458	PER	NW	N	N	N
EDL14_ENG_0239	E0679687	GPE	WB	N	N	N
EDL14_ENG_0240	E0417553	PER	DF	Y	Y	N
EDL14_ENG_0241	E0776977	PER	WB	N	Y	N
EDL14_ENG_0242	E0366103	ORG	NW	N	Y	N
EDL14_ENG_0243	E0338923	ORG	WB	N	Y	N
EDL14_ENG_0244	NIL0092	PER	WB	N	N	N
EDL14_ENG_0245	E0338923	ORG	WB	N	Y	N
EDL14_ENG_0246	E0366103	ORG	DF	N	N	N
EDL14_ENG_0247	NIL0052	ORG	WB	Y	N	N
EDL14_ENG_0248	E0571068	GPE	WB	N	Y	N
EDL14_ENG_0249	NIL0093	PER	WB	N	N	Y
EDL14_ENG_0250	NIL0094	PER	DF	N	N	Y
EDL14_ENG_0251	E0769300	GPE	WB	N	N	N
EDL14_ENG_0252	E0256599	PER	DF	N	N	N
EDL14_ENG_0253	NIL0095	PER	DF	N	N	Y
EDL14_ENG_0254	NIL0073	PER	WB	N	N	N
EDL14_ENG_0255	E0748134	ORG	NW	N	Y	N
EDL14_ENG_0256	NIL0096	ORG	NW	Y	Y	N
EDL14_ENG_0257	E0338209	PER	DF	Y	Y	N
EDL14_ENG_0258	E0282261	PER	DF	Y	Y	N
EDL14_ENG_0259	NIL0097	PER	NW	Y	Y	N
EDL14_ENG_0260	E0479145	ORG	WB	N	N	N
EDL14_ENG_0261	NIL0098	ORG	WB	Y	Y	N
EDL14_ENG_0262	E0305073	PER	DF	N	N	N
EDL14_ENG_0263	E0800701	PER	NW	N	N	N
EDL14_ENG_0264	E0129091	GPE	NW	N	N	N
EDL14_ENG_0265	NIL0099	PER	DF	N	N	Y
EDL14_ENG_0266	NIL0002	PER	DF	N	N	Y
EDL14_ENG_0267	NIL0100	PER	NW	N	Y	N
EDL14_ENG_0268	NIL0101	PER	DF	N	N	Y
EDL14_ENG_0269	NIL0102	PER	WB	Y	Y	N
EDL14_ENG_0270	E0566375	PER	DF	N	N	N
EDL14_ENG_0271	E0382887	GPE	WB	N	Y	N
EDL14_ENG_0272	NIL0103	PER	WB	Y	N	Y
EDL14_ENG_0273	E0525761	GPE	WB	N	Y	N
EDL14_ENG_0274	NIL0062	PER	DF	N	N	Y
EDL14_ENG_0275	E0430909	PER	DF	N	N	N
EDL14_ENG_0276	E0382887	GPE	DF	N	N	N
EDL14_ENG_0277	NIL0048	PER	DF	N	N	Y
EDL14_ENG_0278	E0066984	PER	NW	Y	Y	N
EDL14_ENG_0279	E0382887	GPE	DF	N	N	N
EDL14_ENG_0280	NIL0104	GPE	NW	N	N	N
EDL14_ENG_0281	E0526598	PER	DF	N	Y	N
EDL14_ENG_0282	E0597018	PER	WB	N	N	N
EDL14_ENG_0283	NIL0105	PER	WB	Y	Y	N
EDL14_ENG_0284	NIL0007	PER	DF	N	N	Y
EDL14_ENG_0285	E0028575	PER	NW	N	N	N
EDL14_ENG_0286	NIL0106	PER	DF	N	N	Y
EDL14_ENG_0287	E0659608	PER	NW	N	N	N
EDL14_ENG_0288	E0537422	GPE	NW	N	N	N
EDL14_ENG_0289	NIL0107	ORG	NW	Y	Y	N
EDL14_ENG_0290	NIL0108	GPE	WB	N	Y	N
EDL14_ENG_0291	NIL0109	PER	DF	N	N	Y
EDL14_ENG_0292	NIL0110	PER	DF	N	N	Y
EDL14_ENG_0293	NIL0111	ORG	NW	N	Y	N
EDL14_ENG_0294	E0551950	ORG	WB	Y	N	N
EDL14_ENG_0295	E0664557	PER	WB	Y	Y	N
EDL14_ENG_0296	NIL0112	PER	WB	Y	Y	Y
EDL14_ENG_0297	NIL0113	ORG	NW	N	Y	N
EDL14_ENG_0298	E0679687	GPE	NW	N	N	N
EDL14_ENG_0300	NIL0114	PER	WB	N	N	Y
EDL14_ENG_0301	NIL0016	PER	WB	Y	Y	N
EDL14_ENG_0302	E0621473	ORG	NW	N	Y	N
EDL14_ENG_0303	E0655988	GPE	DF	N	Y	N
EDL14_ENG_0304	E0685180	GPE	WB	N	Y	N
EDL14_ENG_0305	E0597018	PER	WB	N	N	N
EDL14_ENG_0306	E0759363	PER	DF	N	Y	N
EDL14_ENG_0307	E0696372	GPE	WB	N	N	N
EDL14_ENG_0309	E0082306	GPE	NW	N	N	N
EDL14_ENG_0310	E0202764	PER	DF	N	Y	N
EDL14_ENG_0311	NIL0115	GPE	DF	Y	Y	N
EDL14_ENG_0312	E0353325	GPE	DF	Y	Y	N
EDL14_ENG_0313	NIL0116	PER	WB	N	Y	N
EDL14_ENG_0314	E0082980	PER	NW	N	N	N
EDL14_ENG_0315	NIL0117	GPE	DF	Y	Y	N
EDL14_ENG_0317	E0647882	GPE	NW	N	Y	N
EDL14_ENG_0318	NIL0118	PER	DF	N	N	Y
EDL14_ENG_0319	NIL0119	PER	WB	Y	N	N
EDL14_ENG_0320	E0773407	ORG	DF	N	N	N
EDL14_ENG_0321	E0819391	PER	WB	N	Y	N
EDL14_ENG_0322	NIL0120	PER	DF	N	N	Y
EDL14_ENG_0323	NIL0121	ORG	WB	N	N	N
EDL14_ENG_0324	NIL0122	ORG	NW	N	N	N
EDL14_ENG_0325	E0005282	PER	DF	N	N	N
EDL14_ENG_0326	E0553654	ORG	DF	N	Y	N
EDL14_ENG_0327	NIL0123	PER	DF	N	N	Y
EDL14_ENG_0328	E0658573	PER	DF	N	N	N
EDL14_ENG_0329	E0338923	ORG	WB	N	Y	N
EDL14_ENG_0330	NIL0064	PER	DF	N	N	Y
EDL14_ENG_0331	E0488584	GPE	WB	N	N	N
EDL14_ENG_0332	NIL0124	PER	DF	N	N	Y
EDL14_ENG_0333	E0139185	ORG	NW	N	Y	N
EDL14_ENG_0334	NIL0125	PER	WB	N	N	Y
EDL14_ENG_0335	NIL0126	PER	WB	N	N	Y
EDL14_ENG_0336	NIL0127	PER	WB	N	N	Y
EDL14_ENG_0338	E0109620	ORG	NW	N	N	N
EDL14_ENG_0339	NIL0128	PER	DF	N	N	Y
EDL14_ENG_0340	NIL0017	ORG	WB	Y	N	N
EDL14_ENG_0341	NIL0115	GPE	NW	N	Y	N
EDL14_ENG_0342	E0622747	PER	NW	N	N	N
EDL14_ENG_0343	NIL0029	PER	WB	Y	N	Y
EDL14_ENG_0344	NIL0044	ORG	NW	Y	Y	N
EDL14_ENG_0345	NIL0129	PER	DF	N	N	Y
EDL14_ENG_0346	E0545558	PER	DF	N	N	N
EDL14_ENG_0347	E0175892	GPE	DF	Y	Y	N
EDL14_ENG_0348	E0149087	PER	DF	N	Y	N
EDL14_ENG_0349	NIL0130	PER	WB	Y	Y	N
EDL14_ENG_0350	E0746514	PER	DF	N	Y	N
EDL14_ENG_0351	NIL0131	ORG	WB	N	Y	N
EDL14_ENG_0352	NIL0132	GPE	NW	N	N	N
EDL14_ENG_0353	E0042497	GPE	DF	N	Y	N
EDL14_ENG_0354	NIL0133	ORG	NW	N	Y	N
EDL14_ENG_0355	NIL0134	PER	WB	Y	Y	N
EDL14_ENG_0356	E0566375	PER	NW	N	N	N
EDL14_ENG_0358	NIL0062	PER	DF	N	N	Y
EDL14_ENG_0359	NIL0135	PER	WB	N	N	Y
EDL14_ENG_0360	E0253473	ORG	NW	Y	Y	N
EDL14_ENG_0361	E0597018	PER	WB	N	Y	N
EDL14_ENG_0362	NIL0136	PER	NW	N	Y	N
EDL14_ENG_0363	NIL0137	PER	DF	N	N	N
EDL14_ENG_0364	E0332738	ORG	WB	N	N	N
EDL14_ENG_0365	E0566375	PER	DF	N	N	N
EDL14_ENG_0366	NIL0138	GPE	WB	N	N	N
EDL14_ENG_0367	NIL0139	ORG	WB	N	N	N
EDL14_ENG_0368	NIL0140	PER	DF	N	Y	Y
EDL14_ENG_0369	E0597018	PER	WB	Y	N	N
EDL14_ENG_0370	NIL0141	PER	DF	N	Y	N
EDL14_ENG_0371	NIL0142	PER	NW	N	N	N
EDL14_ENG_0372	E0078258	GPE	WB	N	Y	N
EDL14_ENG_0373	E0226263	ORG	WB	N	N	N
EDL14_ENG_0374	E0215219	ORG	WB	N	Y	N
EDL14_ENG_0375	NIL0143	ORG	WB	Y	N	N
EDL14_ENG_0376	NIL0021	PER	DF	N	N	Y
EDL14_ENG_0377	E0537643	ORG	WB	N	Y	N
EDL14_ENG_0378	NIL0144	PER	DF	N	N	Y
EDL14_ENG_0379	NIL0029	PER	WB	Y	N	Y
EDL14_ENG_0380	E0325971	ORG	WB	N	N	N
EDL14_ENG_0381	NIL0145	PER	DF	Y	Y	N
EDL14_ENG_0382	NIL0146	PER	WB	N	N	N
EDL14_ENG_0383	NIL0147	PER	WB	N	N	Y
EDL14_ENG_0384	E0227456	ORG	DF	N	N	N
EDL14_ENG_0385	E0742724	PER	NW	N	N	N
EDL14_ENG_0386	NIL0026	PER	NW	N	N	N
EDL14_ENG_0387	E0793849	GPE	WB	N	Y	N
EDL14_ENG_0388	NIL0118	PER	DF	N	N	Y
EDL14_ENG_0389	E0173134	PER	NW	N	Y	N
EDL14_ENG_0390	NIL0148	PER	WB	N	N	N
EDL14_ENG_0391	E0054230	PER	DF	N	Y	N
EDL14_ENG_0392	NIL0054	PER	WB	N	N	Y
EDL14_ENG_0393	NIL0149	PER	DF	N	N	Y
EDL14_ENG_0394	NIL0150	PER	DF	N	N	Y
EDL14_ENG_0395	E0138638	PER	DF	N	N	N
EDL14_ENG_0396	E0240157	GPE	NW	N	Y	N
EDL14_ENG_0397	NIL0151	PER	WB	Y	Y	N
EDL14_ENG_0398	E0643253	PER	DF	N	N	N
EDL14_ENG_0399	NIL0118	PER	DF	N	N	Y
EDL14_ENG_0400	E0566375	PER	NW	N	N	N
EDL14_ENG_0401	E0383874	PER	WB	N	Y	N
EDL14_ENG_0402	E0173926	PER	WB	N	N	N
EDL14_ENG_0403	E0622747	PER	NW	N	N	N
EDL14_ENG_0404	NIL0152	PER	DF	N	N	Y
EDL14_ENG_0405	NIL0153	PER	DF	N	N	Y
EDL14_ENG_0407	NIL0154	PER	NW	N	Y	N
EDL14_ENG_0408	E0116532	GPE	WB	N	N	N
EDL14_ENG_0409	E0819391	PER	DF	N	N	N
EDL14_ENG_0410	NIL0155	PER	NW	N	Y	N
EDL14_ENG_0411	E0597018	PER	WB	Y	N	N
EDL14_ENG_0412	NIL0156	PER	DF	N	Y	Y
EDL14_ENG_0413	E0718219	ORG	WB	N	Y	N
EDL14_ENG_0414	NIL0157	PER	WB	N	N	Y
EDL14_ENG_0415	E0530900	GPE	NW	N	N	N
EDL14_ENG_0417	NIL0159	PER	WB	N	N	N
EDL14_ENG_0418	E0125674	ORG	NW	N	N	N
EDL14_ENG_0419	NIL0160	PER	WB	Y	Y	N
EDL14_ENG_0420	E0355306	ORG	NW	N	Y	N
EDL14_ENG_0421	E0236617	ORG	WB	N	Y	N
EDL14_ENG_0422	NIL0060	PER	DF	N	N	Y
EDL14_ENG_0423	NIL0161	PER	NW	N	Y	N
EDL14_ENG_0424	E0505890	ORG	NW	N	N	N
EDL14_ENG_0425	NIL0162	PER	DF	N	N	Y
EDL14_ENG_0426	E0551950	ORG	WB	Y	N	N
EDL14_ENG_0427	E0505048	GPE	DF	N	Y	N
EDL14_ENG_0429	NIL0117	GPE	WB	Y	Y	N
EDL14_ENG_0430	E0775129	GPE	WB	N	N	N
EDL14_ENG_0431	E0182788	GPE	NW	N	Y	N
EDL14_ENG_0432	NIL0163	PER	DF	N	N	Y
EDL14_ENG_0433	E0316129	PER	NW	Y	Y	N
EDL14_ENG_0434	NIL0164	PER	DF	N	N	Y
EDL14_ENG_0435	NIL0165	PER	WB	N	Y	N
EDL14_ENG_0436	NIL0166	PER	DF	N	N	Y
EDL14_ENG_0437	NIL0167	PER	DF	Y	Y	N
EDL14_ENG_0438	E0382887	GPE	WB	N	Y	N
EDL14_ENG_0439	NIL0168	PER	WB	N	N	Y
EDL14_ENG_0440	NIL0169	ORG	WB	N	N	N
EDL14_ENG_0441	NIL0019	PER	WB	N	N	Y
EDL14_ENG_0442	E0020414	ORG	WB	Y	Y	N
EDL14_ENG_0443	NIL0170	GPE	WB	N	Y	N
EDL14_ENG_0444	NIL0171	PER	WB	N	Y	N
EDL14_ENG_0445	E0033971	GPE	NW	N	Y	N
EDL14_ENG_0446	E0018436	PER	DF	N	N	N
EDL14_ENG_0447	E0068522	ORG	NW	N	N	N
EDL14_ENG_0449	E0018102	GPE	WB	N	Y	N
EDL14_ENG_0450	E0397050	GPE	NW	Y	Y	N
EDL14_ENG_0451	NIL0172	ORG	NW	Y	Y	N
EDL14_ENG_0452	E0588093	PER	DF	N	Y	N
EDL14_ENG_0453	E0813354	ORG	NW	N	N	N
EDL14_ENG_0454	NIL0144	PER	DF	N	N	Y
EDL14_ENG_0455	E0401466	GPE	NW	N	N	N
EDL14_ENG_0456	E0753411	GPE	NW	N	N	N
EDL14_ENG_0457	NIL0091	PER	DF	N	N	Y
EDL14_ENG_0458	NIL0173	PER	NW	Y	Y	N
EDL14_ENG_0459	E0174306	GPE	NW	Y	Y	N
EDL14_ENG_0460	E0032535	GPE	NW	N	N	N
EDL14_ENG_0461	E0033971	GPE	NW	N	Y	N
EDL14_ENG_0462	NIL0026	PER	NW	N	N	N
EDL14_ENG_0463	E0643253	PER	NW	N	N	N
EDL14_ENG_0464	NIL0104	GPE	WB	N	Y	N
EDL14_ENG_0465	E0099457	PER	NW	N	N	N
EDL14_ENG_0466	E0446526	PER	DF	N	N	N
EDL14_ENG_0467	E0539525	PER	DF	Y	Y	N
EDL14_ENG_0468	E0076072	GPE	NW	N	Y	N
EDL14_ENG_0469	NIL0174	PER	WB	N	N	Y
EDL14_ENG_0470	NIL0175	PER	DF	Y	Y	N
EDL14_ENG_0471	E0151737	PER	WB	Y	Y	N
EDL14_ENG_0472	E0566375	PER	DF	N	N	N
EDL14_ENG_0473	E0162920	GPE	DF	N	N	N
